bin_center,density
0.005,0.005641782562846496
0.015,0.005008200466204498
0.025,0.004568942213270855
0.035,0.0043240078040455675
0.045,0.004273397238528631
0.055,0.004573087788603295
0.065,0.004946189568523336
0.07500000000000001,0.005270062641370595
0.08499999999999999,0.005101648643490021
0.095,0.0049107794458920365
0.10500000000000001,0.004784684862863503
0.11499999999999999,0.004706091663852568
0.125,0.004530768373751252
0.135,0.0043088073611599305
0.14500000000000002,0.004071300441071942
0.155,0.004210349947014364
0.165,0.004880551292426293
0.175,0.005067102182386314
0.185,0.004528177389168474
0.195,0.0036498336156067087
0.20500000000000002,0.0025374375680673237
0.215,0.0009431183881312175
0.225,0.0
0.235,0.0
0.245,0.0
0.255,0.0
0.265,0.0
0.275,0.0
0.28500000000000003,0.0
0.295,0.0
0.305,0.0
0.315,0.0
0.325,0.0
0.335,0.0
0.34500000000000003,0.0
0.355,0.0
0.365,0.0
0.375,0.0
0.385,0.0
0.395,0.0
0.405,0.0
0.41500000000000004,0.0
0.425,0.0
0.435,0.0
0.445,0.0
0.455,0.0
0.465,0.0
0.475,0.0
0.485,0.0
0.495,0.0
0.505,0.0
0.515,0.0
0.525,0.0
0.535,0.0
0.545,0.0016470025331192595
0.555,0.0037966560752974647
0.5650000000000001,0.007614040027257156
0.575,0.01053062500593767
0.585,0.013431664077121515
0.595,0.013909268901880276
0.605,0.012986878390411282
0.615,0.013431664077121519
0.625,0.012675960240477912
0.635,0.011621429515287237
0.645,0.011335557549654056
0.655,0.010839815832815854
0.665,0.011195644382184042
0.675,0.010628218758555645
0.685,0.011427105671578883
0.6950000000000001,0.012515319196345675
0.7050000000000001,0.012445362612610665
0.715,0.012792554546702927
0.725,0.012234629199878048
0.735,0.011649930345697796
0.745,0.011789843513167813
0.755,0.01193666597285857
0.765,0.010727539834228805
0.775,0.012076579140328586
0.785,0.015386130114063775
0.795,0.019855578519355946
0.805,0.024510714153080544
0.8150000000000001,0.027684670266983687
0.8250000000000001,0.03085258075019367
0.835,0.03126886560649335
0.845,0.029088983910849398
0.855,0.02886011360603733
0.865,0.02969354698016428
0.875,0.03093981056448053
0.885,0.03150464520352615
0.895,0.0319485672287088
0.905,0.03243049036110551
0.915,0.031178181146096114
0.925,0.03029206441878601
0.935,0.029027663942390314
0.9450000000000001,0.02882124883729566
0.9550000000000001,0.029120075725842732
0.965,0.02968983323559566
0.975,0.030587782125833775
0.985,0.03181392239655711
0.995,0.033368254047765666
